standard_name,description_brief,external_details_URL,summary
REACTOME_SEALING_OF_THE_NUCLEAR_ENVELOPE_NE_BY_ESCRT_III,Sealing of the nuclear envelope (NE) by ESCRT-III,https://www.reactome.org/content/detail/R-HSA-9668328,"During telophase, the double membrane of the reforming NE, which is derived from fenestrated sheets and tubules of the mitotic ER, is sealed to reestablish the nucleocytoplasmic permeability barrier (reviewed by Otsuka and Ellenberg 2018). Some of the holes in the reforming nuclear envelope close around forming nuclear pore complexes (NPCs) (reviewed by Otsuka and Ellenberg 2018). Other fenestrations are sealed by the formation of filamentous ESCRT-III assemblies and their disassembly by the AAA+ ATPase VPS4 (VPS4A/VPS4B) (reviewed by Schoneberg et al. 2017). The ESCRT-III/VPS4 machinery has a general role in “reverse topology” membrane scission (i.e., involving the fusion of cytoplasmic membrane surfaces (reviewed by Schoneberg et al. 2017). In concert with these events, microtubules connected to the kinetochore and to other chromosomal regions are severed (reviewed by Schoneberg et al. 2017)."
REACTOME_SIGNALING_BY_KIT_IN_DISEASE,Signaling by KIT in disease,https://www.reactome.org/content/detail/R-HSA-9669938,"KIT signaling is important in several processes including stem cell maintenance, erythropoiesis, mast cell development, lymphopoiesis, melanogenesis and maintenance of interstitial cell of Cajal (Hirota et al, 1998; Chi et al, 2010). Gain-of-function mutations in KIT have been identified at low frequency in a number of diseases, including AML, melanoma and mast and germ cell tumors, and at higher frequency in gastrointesinal stromal tumors (reviewed in Lennartsson and Roonstrand, 2012; Abbaspour Babaei et al, 2016; Roskoski, 2018)."
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE,Inhibition of DNA recombination at telomere,https://www.reactome.org/content/detail/R-HSA-9670095,"Telomeres resemble double strand DNA breaks (DSBs) and, if not properly packaged and protected, are recognized by the DNA double strand break repair (DSBR) machinery. Initiation of DSB signaling at telomeres due to replicative shortening of telomeres is one of the triggers of cellular senescence, which can also be triggered by other cellular stressors, such as oxidative stress, and oncogenic signaling-induced mitotic arrest. The loss of telomere protection can result in telomere fusions via non-homologous end joining (NHEJ) of microhomology-mediated end joining (MMEJ). Loss of telomere protection accompanied by changes in the organization of telomeric chromatin (O'Sullivan et al. 2014) can trigger extension of telomeres via homologous recombination repair-mediated alternative lengthening of telomeres (ALT). ALT occurs in about 5-15% of cancers and is a telomerase-independent mechanism of replicative immortality. For review, please refer to Arnoult and Karlseder 2015 and Pickett and Reddel 2015."
REACTOME_SIGNALING_BY_PDGFR_IN_DISEASE,Signaling by PDGFR in disease,https://www.reactome.org/content/detail/R-HSA-9671555,"PDGFRA and PDGFRB are type III receptor tyrosine kinases that promote development and maintenance of mesenchymal tissues, including vascular smooth muscle, kidney, intestine, skin and lung, among others (reviewed in Tallquist and Kazlauskas, 2004; reviewed in Wang et al, 2016). Signaling through PDGF receptors stimulates cell proliferation and survival through activation of downstream signaling pathways including the RAS-MAP kinase cascade, PI3K signaling and STAT signaling (reviewed in Roskoski, 2018). Aberrant signaling through PDGF receptors is implicated in a number of human diseases. Point mutations in PDGFRA and, to a lesser extent, PDGFRB are implicated in a number of cancers, such as gastrointestinal stromal tumors (GIST; 5-10% mutation frequency in PDGFRA) and haematological cancers (Corless et al, 2005; Wang et al, 2016; reviewed in Klug et al, 2018). In addition, amplified signaling through the PDGF pathway can arise through gene fusion events or overexpression of ligand or receptor through gene amplification (Ozawa et al, 2010; Verhaak et al, 2010; reviewed in Appiah-Kubi et al, 2017)."
REACTOME_DEFECTIVE_F9_ACTIVATION,Defective F9 activation,https://www.reactome.org/content/detail/R-HSA-9673221,"Deficiency or dysfunction of FIX leads to hemophilia B (HB), an X-linked, recessive, bleeding disorder. On a molecular basis, HB is due to a heterogeneous spectrum of mutations spread throughout the F9 gene (Rallapalli PM et al. 2013).The Reactome event describes the defective proteolytic activation of FIX by factor XIa due to the presence of HB-associated point mutations R191C, R191H, R226Q and R226W in the cleavage sites of FIX (Liddell MB et al. 1989; Monroe DM et al. 1989; Suehiro K et al. 1989; Diuguid DL et al. 1989; Bertina RM et al.1990). In addition, naturally occurring point mutations in the FIX propeptide sequence such as N43Q, N43L or N46S are also annotated here. These FIX variants are secreted into the circulation with a mutant 18-amino acid propeptide still attached (Bentley AK et al. 1986; Galeffi P &amp; Brownlee GG 1987). The unprocessed FIX variants were found to affect the function of the protein by destabilizing the calcium-induced conformation of FIX (Wojcik EG et al. 1997) and showed delayed activation by FXIa (Liddell MB et al. 1989; Ware J et al. 1989; de la Salle C et al. 1993; Wojcik EG et al. 1997; Bristol JA et al. 1993)."
REACTOME_SIGNALING_BY_PDGFRA_TRANSMEMBRANE_JUXTAMEMBRANE_AND_KINASE_DOMAIN_MUTANTS,"Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants",https://www.reactome.org/content/detail/R-HSA-9673767,"PDGFRA is a type III  transmembrane receptor tyrosine kinase. The extracellular domain consists of 5 immunoglobulin (IG) domains that contribute to dimerization and ligand binding. The intracellular region has a juxtamembrane domain that plays a role in autoinhibiting the receptor in the absence of ligand, and a bi-lobed kinase region with an activation loop and the catalytic cleft (reviewed in Klug et al, 2018). Upon ligand binding, PDGFRA undergoes dimerization and transautophosphorylation at at least 11 tyrosine residues in the intracellular domain. These phosphorylated residues are binding sites for downstream effectors of PDGFRA-responsive signaling pathways (reviewed in Klug et al, 2018; Roskoski, 2018). PDGFRA is subject to activating mutations in a number of cancers, including gastrointestinal stromal tumors (GIST), melanoma and haematological cancers (reviewed in Corless et al, 2011; Wang et al, 2016; Roskoski, 2018). The most prevalent mutations in PDGFRA are at residue V561 in the juxtamembrane domain, N659 in the small lobe of the kinase domain and D842 in the activation loop of the kinase domain. PDGFRA is also subject to short deletions in the activation loop segment (reviewed in Roskoski, 2018). Acitvated forms of the protein may signal from the plasma membrane, similar to the wild type receptor, however there is also evidence that some mutants, notably D842V and V561D localize primarily to the Golgi membrane (Bahlawane et al, 2014). Activated PDGFRA mutants signal constitutively in the absence of ligand (reviewed in Roskoski, 2018; Wang et al, 2016; Klug et al, 2018)."
REACTOME_SIGNALING_BY_MEMBRANE_TETHERED_FUSIONS_OF_PDGFRA_OR_PDGFRB,Signaling by membrane-tethered fusions of PDGFRA or PDGFRB,https://www.reactome.org/content/detail/R-HSA-9673768,"In addition to activating missensse and in-frame deletion mutations, PDGFRA and PDGFRB are also subject to low frequency gene fusion events arising from chromosomal rearrangements. To date there are about 35 identified PDGFRA or B fusion partners, with PDGFRB being the more common partner (reviewed in Appiah-Kubi et al, 2017). Although some of the PDGF fusions proteins are cytosolic by virtue of removal of the PDGFR transmembrane region (TMD), a number of fusions retain the TMD and are linked to the plasma membrane (Hidalgo-Curtis et al, 2010; Ozawa et al, 2010; Curtis et al, 2007; Medves et al, 2010; reviewed in Appiah-Kubi et al, 2017). The most common transmembrane fusion partner of PDGFRA and PDGFRB is ETV6 (also known as TEL1), a transcriptional repressor with known ability to homodimerize (Curtis et al, 2007; Golub et al, 1994; Andrae et al, 2008; reviewed in de Braekeleer et al, 2012; Wang et al, 2016; Appiah-Kubi et al, 2017). "
REACTOME_SIGNALING_BY_CSF3_G_CSF,Signaling by CSF3 (G-CSF),https://www.reactome.org/content/detail/R-HSA-9674555,"CSF3 (GCSF) is a cytokine that regulates production of neutrophils and granulocytes (reviewed in Panopoulos and Watowich 2008). CSF3 circulates extracellularly as a dimer and binds to the monomeric receptor CSF3R (GCSFR) on neutrophil precursors and mature neutrophils (reviewed in Futosi et al. 2013). CSF3R possesses no catalytic activity of its own and is constitutively associated with the kinases LYN (Corey et al. 1994) and JAK1 (Nicholson et al. 1994). Upon binding the CSF3 dimer, CSF3R dimerizes, is phosphorylated, and activates JAK-STAT signaling, RAS-RAF-MEK-ERK signaling, and PI3K signaling (reviewed in Basu et al. 2002, Roberts et al. 2005, Kendricks and Bogoyevitch 2007, Touw and van de Geijn 2007).After dimerization of CSF3R, JAK1 associated with CSF3R is required for phosphorylation of tyrosine residues in the cytosolic domain of CSF3R which recruit further kinases such as JAK2, SYK, HCK, and TYK2 (reviewed in Sampson et al. 2007). Phosphorylated JAK1 and JAK2 then appear to act redundantly to phosphorylate STAT proteins (STAT1, STAT3, STAT5) which dimerize and transit to the nucleus to activate gene expression.CSF3 signaling also activates the RAS pathway, resulting in activation of ERK1 and ERK2 and cellular proliferation. Phosphorylated CSF3R recruits both GRB2, which can act as a scaffold for RAS guanyl exchange factors SOS and VAV, and PTPN11 (SHP2), which activates RAS by dephosphorylating tyrosine-32 of RAS (Bunda et al. 2015). Association of SOS or VAV with the phosphorylated CSF3R has not yet been shown. The pathway to activation of PI3K is uncertain but appears to proceed via GAB2 bound to CSF3R.Mutations in CSF3R can occur during the course of Kostmann disease, a severe congenital neutropenia (reviewed in Zeidler and Welte 2002, Zeidler 2005, Ward 2007, Vandenberghe and Beel 2011). Somatic mutations in CSF3R, principally truncations of the C-terminal region, are involved in the pathogenesis of severe congenital neutropenia and are associated with progression to acute myeloid leukemia (Dong et al. 1995, reviewed in Ward 2007, Beekman and Touw 2010, Xing and Zhao 2016). Loss or mutation of the C-terminal region of CSF3R interferes with inhibition and turnover of the receptor. Mutation of Thr-618 to Ile-618 in CSF3R causes spontaneous dimerization and consequent autoactivation leading to CSF3-independent signaling and chronic neutrophilic leukemia (Maxson et al. 2013)."
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,Nervous system development,https://www.reactome.org/content/detail/R-HSA-9675108,"Neurogenesis is the process by which neural stem cells give rise to neurons, and occurs both during embryonic and perinatal development as well as in specific brain lineages during adult life (reviewed in Gotz and Huttner, 2005; Yao et al, 2016; Kriegstein and Alvarez-Buylla, 2009)."
REACTOME_DISEASES_OF_MITOTIC_CELL_CYCLE,Diseases of mitotic cell cycle,https://www.reactome.org/content/detail/R-HSA-9675126,"Diseases of mitotic cell cycle are caused by mutations in cell cycle regulators (Collins and Garrett 2005, Diaz-Moralli et al. 2013), such as retinoblastoma protein RB1 (Classon and Harlow 2002), as well as proteins involved in telomere maintenance, such as ATRX and DAXX (Sarek et al. 2015). These diseases mainly include different types of cancer, hereditary syndromes such as dyskeratosis congenita that may predispose affected patients to cancer, and neurodegenerative diseases (Webber et al. 2005)."
REACTOME_DISEASES_OF_DNA_REPAIR,Diseases of DNA repair,https://www.reactome.org/content/detail/R-HSA-9675135,"Germline and somatic defects in genes that encode proteins that participate in DNA repair give rise to genetic instability that can lead to malignant transformation or trigger cellular senescence or apoptosis. Germline defects in DNA repair genes are an underlying cause of familial cancer syndromes and premature ageing syndromes. Somatic defects in DNA repair genes are frequently found in tumors. For review, please refer to Tiwari and Wilson 2019.We have so far annotated diseases of mismatch repair, diseases of base excision repair and diseases of DNA double-strand break repair.Defects in mammalian DNA mismatch repair (MMR) genes (MLH1, PMS2, MSH2, and MSH6) result in microsatellite instability (MSI) and reduced fidelity during replication and repair steps. Defective variants of MMR genes are associated with sporadic cancers with hypermutation phenotypes as well as hereditary cancer syndromes such as Lynch syndrome (hereditary non-polyposis colorectal cancer) and constitutional mismatch repair deficiency syndrome (CMMRD). MSI is an important predictor of sensitivity to cancer immunotherapy as the high mutational burden renders MSI tumors immunogenic and sensitive to programmed cell death-1 (PD-1) immune checkpoint inhibitors (Mandal et al. 2019). For review, please refer to Pena-Diaz and Rasmussen 2016, Sijmons and Hofstra 2016, Tabori et al. 2017, Baretti and Le 2018.Germline mutations, single nucleotide polymorphisms (SNPs) and somatic mutations in several genes involved in base excision repair (BER), a DNA repair pathway where a damaged DNA base is excised and replaced with a correct base, are involved in the development of cancer and several oxidative stress-related diseases. For review, please refer to Fu et al. 2012, Fletcher and Houlston 2010, Brenerman et al. 2014, Patrono et al. 2014, and D'Errico et al. 2017.Germline mutations in genes involved in repair of DNA double-strand breaks (DSBs) are the underlying cause of several cancer predisposition syndromes, some of which also encompass developmental disorders associated with immune dysfunction, radiosensitivity and neurodegeneration. Somatic mutations in genes involved in DSB repair also occur in sporadic cancers. For review, please refer to McKinnon and Caldecott 2007, Keijzers et al. 2017, and Jachimowicz et al. 2019."
REACTOME_SARS_COV_1_INFECTION,SARS-CoV-1 Infection,https://www.reactome.org/content/detail/R-HSA-9678108,"The SARS-CoV-1 coronavirus is the causative agent of the outbreak of severe acute respiratory syndrome in 2003 that caused 8,098 known cases of the disease and 774 deaths. The molecular events involved in viral infection and the response of the human host to it have since been studied in detail and are annotated here (de Wit et al. 2016; Marra et al. 2003). The SARS-CoV-1 viral infection pathway here uses entries listed in the UniProt ""Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus)"" taxonomy.SARS-CoV-1 infection begins with the binding of viral S (spike) protein to cell surface angiotensin converting enzyme 2 (ACE2) and endocytosis of the bound virion. Within the endocytic vesicle, host proteases mediate cleavage of S protein into S1 and S2 fragments, leading to S2-mediated fusion of the viral and host endosome membranes and release of the viral capsid into the host cell cytosol. The capsid is uncoated to free the viral genomic RNA, whose cap-dependent translation produces polyprotein pp1a and, by means of a 1-base frameshift, polyprotein pp1ab. Autoproteolytic cleavage of pp1a and pp1ab generates 15 or 16 nonstructural proteins (nsps) with various functions. Importantly, the RNA dependent RNA polymerase (RdRP) activity is encoded in nsp12. Nsp3, 4, and 6 induce rearrangement of the cellular endoplasmic reticulum membrane to form cytosolic double membrane vesicles (DMVs) where the viral replication transcription complex is assembled and anchored. With viral genomic RNA as a template, viral replicase-transcriptase synthesizes a full length negative sense antigenome, which in turn serves as a template for the synthesis of new genomic RNA. The replicase-transcriptase can also switch template during discontinuous transcription of the genome at transcription regulated sequences to produce a nested set of negative-sense subgenomic (sg) RNAs, which are used as templates for the synthesis of positive-sense sgRNAs that are translated to generate viral proteins. Finally, viral particle assembly occurs in the ER Golgi intermediate compartment (ERGIC). Viral M protein provides the scaffold for virion morphogenesis (Fung &amp; Liu 2019; Masters 2006)."
REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS,Potential therapeutics for SARS,https://www.reactome.org/content/detail/R-HSA-9679191,"No drug has yet (April 2020) been shown in a randomized double-blind placebo-controlled trial to prevent or reduce the severity of human infection with SARS-CoV-1 or SARS-CoV-2. Nevertheless, a large number of promising drug candidates have been identified on the basis of their efficacy in treatment of human infections with other RNA viruses or in diminishing cytokine storms and other pathologies due to destructive host reactions to viruses similar to SARS-CoV-1 and SARS-CoV-2. The interactions of these candidate drugs with their known viral and human protein targets are annotated.In addition, some drugs that inhibit Cytochrome P450 (CYP) oxidoreductases have been shown to be effective in prolonging the plasma half-lives of antiviral drugs with acceptable side effects, and CYP inhibition by these drugs is annotated.Finally, effects of any of these drugs on unrelated essential human proteins, that might limit their use in vivo are annotated."
REACTOME_SARS_COV_INFECTIONS,SARS-CoV Infections,https://www.reactome.org/content/detail/R-HSA-9679506,"Coronaviruses (CoVs) are large, enveloped, positive strand RNA viruses that can be classified into four genera: alpha, beta, delta, and gamma. Coronaviruses are ecologically diverse, infecting animals including camels, cattle, cats, and bats, with the greatest variety seen in bats, suggesting that bats are the reservoirs for many of these viruses. Rarely, A and B lineage beta coronaviruses of non-human origin can infect people and then spread directly between people. Four human coronaviruses (HCoVs), HCoV 229E, NL63, OC43, and HKU1, are endemic globally and account for 10% to 30% of upper respiratory tract infections in adults, typically presenting as common colds (van der Hoek 2007). However, in the 21st century, three highly pathogenic HCoVs - severe acute respiratory syndrome coronavirus (SARS-CoV-1) in 2003, Middle East Respiratory Syndrome coronavirus (MERS CoV) in 2012, and SARS-CoV-2 in 2019 - emerged from animal reservoirs to cause global epidemics with alarming morbidity and mortality (De Wit et al. 2016; Fung &amp; Liu 2019; Marra et al. 2003; Paules et al. 2020).During the 2003 outbreak of SARS-CoV-1, 8,098 people worldwide became sick. Of these, 774 died. In the United States, only eight people had laboratory evidence of SARS-CoV-1 infection. All of these people had traveled to other parts of the world where the disease was spreading. Community spread was not observed in the United States (De Wit et al. 2016; WHO - SARS). A second human coronavirus, MERS-CoV, first observed in 2012, has been identified in 2,494 patients with respiratory distress of whom 858 have died. Human-to-human transmission of the virus appears to be limited (De Wit et al. 2016; WHO – MERS). In December 2019, yet another pathogenic HCoV, 2019 novel coronavirus (2019 nCoV), was recognized, initially in Wuhan, China. The World Health Organization has named the disease caused by the 2019 novel coronavirus COronaVIrus Disease 2019, or COVID-19. The disease has also been referred to as 2019 novel coronavirus or 2019 nCoV. SARS-CoV-1 and SARS-CoV-2 viral infection pathways are annotated in this section, as are drugs that potentially modulate the infection processes. Many of the steps of SARS-CoV-1 infection have been characterized experimentally in the past 15 years (Fung &amp; Liu 2019; Masters 2006), and this experimental work has allowed the annotation here of the infection process and interactions with host proteins in molecular detail. Less comparable data is yet available for SARS-CoV-2 infection, but the similarity in the genomes and predicted proteomes of the two viruses allows the inference of a detailed infection pathway for SARS-CoV-2 that has been manually annotated as well with experimental results published in the first half of 2020."
REACTOME_SIGNALING_BY_CSF1_M_CSF_IN_MYELOID_CELLS,Signaling by CSF1 (M-CSF) in myeloid cells,https://www.reactome.org/content/detail/R-HSA-9680350,"Colony stimulating factor-1 (CSF1, CSF-1, also called macrophage colony stimulating factor, M-CSF) is a disulfide-linked dimer that stimulates the proliferation and differentiation of mononuclear phagocytes and the survival, proliferation, motility, and anti-inflammatory activity of macrophages (reviewed in Mouchemore et al. 2012, Stanley and Chitu 2014, Ushach and Zlotnik 2016, Dwyer et al. 2017 and inferred from mouse homologs in Caescu et al. 2015). The unliganded CSF1 receptor, CSF1R (CSF-1R) is either clustered or undergoing rapid dimer-monomer transitions at the cell surface (Li and Stanley 1991). The CSF1 dimer initially binds the D2 and D3 extracellular domains of a monomer of CSF1R (Wang et al. 1993, Chihara et al. 2010, Ma et al. 2012, Felix et al. 2015, and inferred from mouse homologs). A second monomer of CSF1R then binds the CSF1:CSF1R complex and the resulting dimerization of CSF1R activates its kinase activity (Elegheert et al. 2011, Felix et al. 2015, and inferred from mouse homologs). CSF1R initially trans-autophosphorylates tyrosine-561 in the juxtamembrane domain, relieving negative autoinhibition of kinase activity, resulting in the trans-autophosphorylation of 7 more tyrosine residues in its cytoplasmic domain (Rohrschneider et al. 1997, Chihara et al. 2010, and inferred from mouse homologs in Xiong et al. 2011).The PIK3R1 (p85alpha) regulatory subunit of phosphatidylinositol 3-kinase (PI3K) binds phosphotyrosine-723 of CSF1R, phosphorylated SRC binds phosphotyrosine-561 of CSF1R, phosphorylated CBL binds CSF1R associated with SHC, and GRB2:SOS binds CSF1R (Saleem et al. 1995, and inferred from mouse homologs). The resulting activation of the catalytic subunit of PI3K (PIK2CA,B,G) produces phosphatidylinositol 3,4,5-trisphosphate which recruits effectors containing pleckstrin homology domains (PH domains) such as PKB (also called Akt) to the plasma membrane. Pathways activated by PI3K appear to both enhance proliferation, survival, and migration of macrophages (reviewed in Dwyer et al. 2017) and, via induction of miR21, suppress the inflammatory response by targeting mRNAs encoding multiple proinflammatory molecules.Phospholipase C gamma2 (PLCG2) binds phosphotyrosine-723 of CSF1R, hydrolyzes phosphatidylcholine to yield choline phosphate (phosphocholine) and diacylglycerol, and promotes survival and differentiation of macrophages via PKCdelta (PRKCD) (inferred from mouse homologs).GRB2 bound to SOS1 (GRB2:SOS1) transiently interacts with phosphotyrosine-699 of CSF1R. SOS1 promotes the exchange of GDP for GTP by KRAS, activating the RAS-RAF-ERK1,2 pathway that causes proliferation of macrophage precursors (inferred from mouse homologs). CBL transiently associates with and ubiquitinates the CSF1R, then is deubiquitinated and returned to the cytoplasm (inferred from mouse homologs).Phosphorylated CSF1R also recruits STAT1 and STAT3, which are then phosphorylated (inferred from mouse homologs). The role of phosphorylated STAT1,3 in signaling by CSF1R is incompletely characterized. CSF1R is a target for therapeutics, such as imatinib (reviewed in Kumari et al. 2018)."
REACTOME_FLT3_SIGNALING_IN_DISEASE,FLT3 signaling in disease,https://www.reactome.org/content/detail/R-HSA-9682385,"FLT3 is a type III receptor tyrosine kinase (RTK). The extracellular domain consists of 5 immunoglobulin (Ig) domains that contribute to dimerization and ligand binding. The intracellular region has a juxtamembrane domain that plays a role in autoinhibiting the receptor in the absence of ligand, and a bi-lobed kinase region with an activation loop and the catalytic cleft (reviewed in Klug et al, 2018). Signaling through FLT3 occurs after ligand-induced dimerization and transautophosphorylation, and promotes signaling through the MAP kinase, PI3K and STAT5 pathways, among others. FLT3 signaling promotes cellular proliferation and differentiation and contributes to haematopoeisis. FLT3 is mutated in up to 30% of acute myeloid leukemias. ~25% of the FLT3 mutations in AML cases occur as internal tandem duplications (ITDs) either in the juxtamembrane domain region encoded by exon 14 or the tyrosine kinase domain (TKD), while ~7-10% of AML cases contain FLT3 missense mutations in the TKD (reviewed in Klug et al, 2018; Daver et al, 2019). These mutations all support ligand-independent activation of the receptor and result in constitutive activation and signaling (Zheng et al, 2004; reviewed in Klug et al, 2018; Kazi and Roonstrand, 2019). In rare cases, the FLT3 locus is also subject to translocations that generate constitutively active fusion proteins (reviewed in Kazi and Roonstrand, 2019). Oncogenic FLT3 activity can be targeted with tyrosine kinase inhibitors, although resistance often arises due to secondary mutations or activation of bypass pathways (reviewed in Staudt et al, 2018; Daver et al, 2019)."
REACTOME_MATURATION_OF_SARS_COV_1_NUCLEOPROTEIN,Maturation of nucleoprotein,https://www.reactome.org/content/detail/R-HSA-9683610,"Nucleoprotein, the most abundant viral protein expressed during infection, is found in the cytosol and plasma membrane. After phosphorylation and sumoylation it trimerizes and is moved to the Golgi, the virion budding site (Li et al, 2005; Surjit et al, 2005)."
REACTOME_MATURATION_OF_PROTEIN_3A,Maturation of protein 3a,https://www.reactome.org/content/detail/R-HSA-9683673,"Protein 3a is associated with protein M and is found in the virion, although its function in the structure seems non-essential. 3a is O-glycosylated and forms a homotetramer with porin function (Oostra et al, 2006; Lu et al, 2006)."
REACTOME_MATURATION_OF_SARS_COV_1_SPIKE_PROTEIN,Maturation of spike protein,https://www.reactome.org/content/detail/R-HSA-9683686,"Spike protein of SARS-Cov is subject to N-glycosylation and palmitoylation. The chaperone calnexin exclusively helps with protein folding. The end product is a homotrimer (Nal et al, 2005)."
REACTOME_TRANSLATION_OF_SARS_COV_1_STRUCTURAL_PROTEINS,Translation of Structural Proteins,https://www.reactome.org/content/detail/R-HSA-9683701,"SARS-CoV-1 mRNA is translated according to the ribosomal scanning model. Virus mRNA is capped and polyadenylated, with regions of nontranslated sequences on both the 5' and 3' ends. Structural proteins are encoded after the polymerase/replicase genes by mRNAs 2 (Spike protein), 3, 4 (Envelope protein), 5 (Membrane protein), and 9. mRNA 3 and 9 are bicistronic, the proteins 3a and 9a (Nucleocapsid protein) having functions in virus assembly and structure. Translation happens in the ER with the exception of 9a which is translated by cytosolic free ribosomes (Fung and Liu, 2019)."
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,Aberrant regulation of mitotic exit in cancer due to RB1 defects,https://www.reactome.org/content/detail/R-HSA-9687136,"RB1 regulates mitotic exit by acting on SKP2, a component of the SCF E3 ubiquitin ligase complex. RB1 facilitates degradation of SKP2 by the anaphase promoting complex/cyclosome (APC/C), thus preventing SKP2-mediated degradation of the cyclin-dependent kinase inhibitor CDKN1B (p27Kip1). RB1-dependent accumulation of p27Kip1 plays an important role in mitotic exit and RB1-mediated tumor suppression (reviewed by Dyson 2016)."
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_TESTIS_DIFFERENTIATION,Transcriptional regulation of testis differentiation,https://www.reactome.org/content/detail/R-HSA-9690406,"In humans, primordial germ cells (PGCs) are specified about 2 weeks after fertilization, a time before gastrulation (reviewed in Svingen and Koopman 2013, Mäkelä et al. 2019). PGCs are initially located extraembryonically and then migrate to colonize the gonadal ridges (genital ridges) of the embryo during the fifth week after fertilization. At this time, either ovaries and testes can originate from the gonadal ridges. That is, the cells of the gonadal ridges are initially bipotential and remain bipotential until about 42 days after conception, when transient expression of the SRY gene located on the Y chromosome in male embryos is initiated in some somatic cells of the gonadal primordium (reviewed in Sekido and Lovell-Badge 2013, Barrionuevo et al. 2013, Svingen et al. 2013,  Mäkelä et al. 2019).The transcription factors WT1, GATA4, ZFPM2 (FOG2), and the nuclear receptor NR5A1 (SF1) activate transcription of SRY (Shimamura et al. 1997, Hossain and Saunders 2001, De Santa Barbara et al. 2001, Miyamoto et al. 2008, and inferred from mouse homologs). SRY and NR5A1 then activate transcription of SOX9, one of the master regulators of testis development and maintenance (Knower et al. 2011, Croft et al. 2018, inferred from mouse homologs, reviewed in Gonen and Lovell-Badge 2019). Regulation of genes by SRY and then, when expression of SRY decreases, by SOX9 causes the specification of Sertoli cells that further organize formation of the testis by encasing the primordial germ cells in protocords, which then form fully developed testis cords.SOX9 directly activates its own promoter to maintain SOX9 expression through development and into adulthood (Croft et al. 2018, and inferred from mouse homologs). SOX9 and GATA4 directly activate DMRT1 (inferred from mouse homologs), which maintains testis specification by maintaining expression of SOX9 and other testis-related genes. DMRT1 also acts to suppress ovarian specification by binding and repressing FOXL2 and WNT4 genes (inferred from mouse homologs). SOX9 directly activates FGF9 (inferred from mouse homologs), which acts via FGFR2 to maintain SOX9 expression, and PTGDS (inferred from mouse homologs), which converts Prostaglandin H2 to Prostaglandin D2, a critical hormone-like lipid that recruits supporting cells to Sertoli cells and acts indirectly to maintain SOX9 expression. SOX9, NR5A1, and GATA4 directly activate AMH (De Santa Barbara et al. 1998, and inferred from mouse homologs), an extracellular signaling molecule which causes regression of the Muellerian duct of the female reproductive system. SOX9 also directly activates many other genes, including DHH (Rahmoun et al. 2017, and inferred from mouse homologs), an intercellular signaling molecule required for testis formation."
REACTOME_SARS_COV_1_HOST_INTERACTIONS,SARS-CoV-1-host interactions,https://www.reactome.org/content/detail/R-HSA-9692914,"Coronaviruses are a group of enveloped viruses with single‑stranded, positive‑sense RNA genomes. Each of the steps of viral replication - attachment and entry, translation of viral replicase, genome transcription and replication, translation of structural proteins, and virion assembly and release - involves host factors. These interactions can cause alterations in cellular structure and physiology, and activate host stress responses, autophagy, cell death, and processes of innate immunity (Fung TS &amp; Liu DX 2019). This Reactome module describes molecular mechanisms by which severe acute respiratory syndrome coronavirus type 1 (SARS-CoV-1) modulates host cell death pathways, innate immune responses, translation, intracellular signaling and regulatory pathways, and PDZ-mediated cell-cell junctions."
